x,y
4221892.05776,20575080.3356
4225651.15809,20575080.3356
4229410.25843,20575080.3356
4233169.35876,20575080.3356
4236928.45909,20575080.3356
4240687.55942,20575080.3356
4244446.65976,20575080.3356
4248205.76009,20575080.3356
4251964.86042,20575080.3356
4255723.96075,20575080.3356
4259483.06108,20575080.3356
4263242.16142,20575080.3356
4267001.26175,20575080.3356
4270760.36208,20575080.3356
4274519.46241,20575080.3356
4278278.56275,20575080.3356
4282037.66308,20575080.3356
4285796.76341,20575080.3356
4289555.86374,20575080.3356
4293314.96407,20575080.3356
4297074.06441,20575080.3356
4300833.16474,20575080.3356
4304592.26507,20575080.3356
4308351.3654,20575080.3356
4312110.46573,20575080.3356
4315869.56607,20575080.3356
4319628.6664,20575080.3356
4323387.76673,20575080.3356
4327146.86706,20575080.3356
4330905.9674,20575080.3356
4334665.06773,20575080.3356
4338424.16806,20575080.3356
4342183.26839,20575080.3356
4345942.36872,20575080.3356
4349701.46906,20575080.3356
4353460.56939,20575080.3356
4357219.66972,20575080.3356
4360978.77005,20575080.3356
4364737.87039,20575080.3356
4368496.97072,20575080.3356
4372256.07105,20575080.3356
4376015.17138,20575080.3356
4379774.27171,20575080.3356
4383533.37205,20575080.3356
4387292.47238,20575080.3356
4391051.57271,20575080.3356
4394810.67304,20575080.3356
4398569.77337,20575080.3356
4402328.87371,20575080.3356
4406087.97404,20575080.3356
4409847.07437,20575080.3356
4413606.1747,20575080.3356
4417365.27504,20575080.3356
4421124.37537,20575080.3356
4424883.4757,20575080.3356
4428642.57603,20575080.3356
4432401.67636,20575080.3356
4436160.7767,20575080.3356
4439919.87703,20575080.3356
4443678.97736,20575080.3356
4447438.07769,20575080.3356
4451197.17803,20575080.3356
4454956.27836,20575080.3356
4458715.37869,20575080.3356
4462474.47902,20575080.3356
4466233.57935,20575080.3356
4469992.67969,20575080.3356
4473751.78002,20575080.3356
4477510.88035,20575080.3356
4481269.98068,20575080.3356
4485029.08102,20575080.3356
4488788.18135,20575080.3356
4492547.28168,20575080.3356
4496306.38201,20575080.3356
4500065.48234,20575080.3356
4503824.58268,20575080.3356
4507583.68301,20575080.3356
4511342.78334,20575080.3356
4515101.88367,20575080.3356
4518860.984,20575080.3356
4522620.08434,20575080.3356
4526379.18467,20575080.3356
4530138.285,20575080.3356
4533897.38533,20575080.3356
4537656.48567,20575080.3356
4541415.586,20575080.3356
4545174.68633,20575080.3356
4548933.78666,20575080.3356
4552692.88699,20575080.3356
4579006.58932,20575080.3356
4582765.68965,20575080.3356
4586524.78998,20575080.3356
4590283.89032,20575080.3356
4594042.99065,20575080.3356
4597802.09098,20575080.3356
4601561.19131,20575080.3356
4605320.29164,20575080.3356
4609079.39198,20575080.3356
4612838.49231,20575080.3356
4616597.59264,20575080.3356
4620356.69297,20575080.3356
4624115.79331,20575080.3356
4627874.89364,20575080.3356
4631633.99397,20575080.3356
4657947.6963,20575080.3356
3996346.03783,20571321.2353
4000105.13816,20571321.2353
